audit_id,audit_type,auditing_body,site_id,supplier_id,audit_scope,regulatory_framework,lead_auditor,audit_start_date,audit_end_date,audit_days,overall_rating,total_findings,critical_findings,major_findings,minor_findings,observations,status,report_issue_date,response_due_date
AUD-0001,Internal,Internal QA,SITE-US-01,,GMP compliance audit covering Computer Systems Validation and Computer Systems Validation,21 CFR 820,Lead Auditor 1,2022-05-14,2022-05-18,4.2,Satisfactory,8,0,3,5,0,Closed,2022-06-01,2022-06-17
AUD-0002,Internal,Internal QA,SITE-US-01,,GMP compliance audit covering Computer Systems Validation and Batch Record Review,21 CFR 211,Lead Auditor 7,2022-03-12,2022-03-15,3.6,Acceptable,10,0,4,6,0,Closed,2022-03-29,2022-04-14
AUD-0003,Internal,Internal QA,SITE-US-01,,GMP compliance audit covering Environmental Monitoring and Batch Record Review,ISO 9001,Lead Auditor 4,2022-10-18,2022-10-20,2.8,Satisfactory,9,0,3,6,0,Closed,2022-11-03,2022-11-19
AUD-0004,Internal,Internal QA,SITE-US-01,,GMP compliance audit covering Change Control and Computer Systems Validation,21 CFR 820,Lead Auditor 9,2022-10-08,2022-10-12,4.1,Acceptable,7,0,2,5,0,Closed,2022-10-26,2022-11-11
AUD-0005,Internal,Internal QA,SITE-US-01,,GMP compliance audit covering Supplier Management and Batch Record Review,21 CFR 211,Lead Auditor 10,2023-05-27,2023-05-29,2.3,Satisfactory,7,0,3,4,0,Closed,2023-06-12,2023-06-28
AUD-0006,Internal,Internal QA,SITE-US-01,,GMP compliance audit covering CAPA System and Computer Systems Validation,EU GMP,Lead Auditor 4,2023-10-20,2023-10-23,3.7,Satisfactory,4,0,1,3,0,Closed,2023-11-06,2023-11-22
AUD-0007,Internal,Internal QA,SITE-US-01,,GMP compliance audit covering Training Management and Change Control,21 CFR 211,Lead Auditor 10,2023-03-22,2023-03-26,4.5,Satisfactory,9,0,3,5,1,Closed,2023-04-09,2023-04-25
AUD-0008,Internal,Internal QA,SITE-US-01,,GMP compliance audit covering QC Laboratory and Computer Systems Validation,ISO 9001,Lead Auditor 5,2023-06-04,2023-06-06,2.8,Unsatisfactory,12,0,1,3,8,Closed,2023-06-20,2023-07-06
AUD-0009,Internal,Internal QA,SITE-US-01,,GMP compliance audit covering CAPA System and Environmental Monitoring,21 CFR 211,Lead Auditor 1,2024-03-10,2024-03-14,4.4,Satisfactory,7,0,1,6,0,Closed,2024-03-28,2024-04-13
AUD-0010,Internal,Internal QA,SITE-US-01,,GMP compliance audit covering CAPA System and Manufacturing,ISO 9001,Lead Auditor 5,2024-07-17,2024-07-19,2.8,Satisfactory,9,0,1,5,3,Closed,2024-08-02,2024-08-18
AUD-0011,Internal,Internal QA,SITE-US-01,,GMP compliance audit covering CAPA System and Computer Systems Validation,ISO 9001,Lead Auditor 2,2024-06-25,2024-06-28,3.6,Satisfactory,7,0,1,6,0,Closed,2024-07-12,2024-07-28
AUD-0012,Internal,Internal QA,SITE-US-02,,GMP compliance audit covering Document Control and QC Laboratory,21 CFR 211,Lead Auditor 4,2022-01-10,2022-01-14,4.9,Acceptable,9,0,4,5,0,Closed,2022-01-28,2022-02-13
AUD-0013,Internal,Internal QA,SITE-US-02,,GMP compliance audit covering Change Control and Batch Record Review,21 CFR 211,Lead Auditor 8,2022-07-07,2022-07-09,2.2,Satisfactory,6,0,1,5,0,Closed,2022-07-23,2022-08-08
AUD-0014,Internal,Internal QA,SITE-US-02,,GMP compliance audit covering Batch Record Review and QC Laboratory,ISO 9001,Lead Auditor 8,2022-08-01,2022-08-05,5.0,Satisfactory,12,0,2,2,8,Closed,2022-08-19,2022-09-04
AUD-0015,Internal,Internal QA,SITE-US-02,,GMP compliance audit covering Change Control and Document Control,21 CFR 820,Lead Auditor 10,2022-07-13,2022-07-14,2.0,Satisfactory,11,0,1,6,4,Closed,2022-07-28,2022-08-13
AUD-0016,Internal,Internal QA,SITE-US-02,,GMP compliance audit covering Computer Systems Validation and Batch Record Review,ISO 9001,Lead Auditor 9,2023-04-05,2023-04-07,2.3,Satisfactory,9,0,4,5,0,Closed,2023-04-21,2023-05-07
AUD-0017,Internal,Internal QA,SITE-US-02,,GMP compliance audit covering Batch Record Review and Training Management,ICH Q10,Lead Auditor 4,2023-02-10,2023-02-12,2.5,Acceptable,10,0,4,3,3,Closed,2023-02-26,2023-03-14
AUD-0018,Internal,Internal QA,SITE-US-02,,GMP compliance audit covering Document Control and Computer Systems Validation,EU GMP,Lead Auditor 8,2023-11-20,2023-11-22,2.6,Satisfactory,9,0,1,2,6,Closed,2023-12-06,2023-12-22
AUD-0019,Internal,Internal QA,SITE-US-02,,GMP compliance audit covering Batch Record Review and Environmental Monitoring,ICH Q10,Lead Auditor 4,2024-02-11,2024-02-15,4.6,Acceptable,10,0,3,4,3,Closed,2024-02-29,2024-03-16
