doc_id,doc_number,doc_title,doc_type,business_function,gxp_classification,current_version,status,effective_date,next_review_date,last_review_date,review_freq_months,owner_dept_id,doc_owner_id,regulatory_ref,is_controlled,site_id,training_required
DOC-0001,SOP-QA-001,SOP for Handling Out of Specification Results - Philadelphia Manufacturing,SOP,QA,GMP,3.2,Effective,2022-01-07,2023-12-28,2022-01-07,24,8,19,21 CFR 211.192,True,SITE-US-01,True
DOC-0002,SOP-QA-002,SOP for CAPA Management - Philadelphia Manufacturing,SOP,QA,GMP,1.3,Effective,2021-06-20,2023-06-10,2021-06-20,24,6,84,21 CFR 820.100,True,SITE-US-01,True
DOC-0003,SOP-QA-003,SOP for Deviation Reporting and Investigation - Philadelphia Manufacturing,SOP,QA,GMP,3.2,Effective,2020-03-05,2022-02-23,2020-03-05,24,1,101,21 CFR 211.192,True,SITE-US-01,True
DOC-0004,SOP-QA-004,SOP for Batch Record Review - Philadelphia Manufacturing,SOP,QA,GMP,4.3,Effective,2023-03-07,2025-02-24,2023-03-07,24,2,61,21 CFR 211.186,True,SITE-US-01,True
DOC-0005,SOP-QA-005,SOP for Change Control Management - Philadelphia Manufacturing,SOP,QA,GMP,1.1,Effective,2022-09-18,2024-09-07,2022-09-18,24,5,77,ICH Q10,True,SITE-US-01,True
DOC-0006,SOP-QA-006,SOP for Supplier Qualification - Philadelphia Manufacturing,SOP,QA,GMP,1.0,Effective,2023-01-07,2024-12-27,2023-01-07,24,7,60,21 CFR 211.84,True,SITE-US-01,True
DOC-0007,SOP-MFG-007,SOP for Cleanroom Gowning Procedure - Philadelphia Manufacturing,SOP,Mfg,GMP,2.0,Effective,2023-02-02,2025-01-22,2023-02-02,24,5,11,EU GMP Annex 1,True,SITE-US-01,True
DOC-0008,SOP-MFG-008,SOP for Equipment Cleaning Validation - Philadelphia Manufacturing,SOP,Mfg,GMP,1.1,Effective,2022-06-25,2024-06-14,2022-06-25,24,6,80,21 CFR 211.67,True,SITE-US-01,True
DOC-0009,SOP-MFG-009,SOP for Line Clearance - Philadelphia Manufacturing,SOP,Mfg,GMP,4.2,Effective,2021-01-13,2023-01-03,2021-01-13,24,9,55,21 CFR 211.130,True,SITE-US-01,True
DOC-0010,SOP-MFG-010,SOP for Temperature Excursion Management - Philadelphia Manufacturing,SOP,Mfg,GMP,2.3,Effective,2023-06-16,2025-06-05,2023-06-16,24,10,71,21 CFR 211.68,True,SITE-US-01,True
