capa_id,site_id,department_id,source_type,source_reference_id,severity,root_cause_category,root_cause_detail,description,initiated_by,owner_employee_id,initiation_date,target_close_date,actual_close_date,status,effectiveness_check_req,effectiveness_check_date,effectiveness_check_result,reopen_count,regulatory_notif_required
CAPA-0001,SITE-US-01,7,Self-Identified,,Minor,Human Error,Root cause identified as human error deficiency in Manufacturing,CAPA initiated for minor quality event at Philadelphia Manufacturing,Quality System,1,2022-08-04,2022-11-02,2022-10-10,Closed,False,,,0,False
CAPA-0002,SITE-US-01,10,Audit,,Major,Equipment,Root cause identified as equipment deficiency in QA,CAPA initiated for major quality event at Philadelphia Manufacturing,Quality System,9,2022-10-17,2022-12-16,,Overdue,True,,,0,False
CAPA-0003,SITE-US-01,4,Deviation,,Major,Communication,Root cause identified as communication deficiency in QC,CAPA initiated for major quality event at Philadelphia Manufacturing,Quality System,109,2024-03-28,2024-05-27,2024-04-19,Closed,True,2024-07-18,Fail,0,False
CAPA-0004,SITE-US-01,5,Audit,,Minor,System,Root cause identified as system deficiency in QA,CAPA initiated for minor quality event at Philadelphia Manufacturing,Quality System,12,2022-12-30,2023-03-30,,Overdue,False,,,1,False
CAPA-0005,SITE-US-01,5,Inspection,,Minor,Material,Root cause identified as material deficiency in Manufacturing,CAPA initiated for minor quality event at Philadelphia Manufacturing,Quality System,12,2024-09-21,2024-12-20,,Overdue,False,,,0,False
CAPA-0006,SITE-US-01,6,Audit,,Minor,Human Error,Root cause identified as human error deficiency in Regulatory,CAPA initiated for minor quality event at Philadelphia Manufacturing,Quality System,9,2022-10-07,2023-01-05,2022-12-20,Closed,False,,,0,False
CAPA-0007,SITE-US-01,1,Audit,,Minor,System,Root cause identified as system deficiency in QA,CAPA initiated for minor quality event at Philadelphia Manufacturing,Quality System,74,2022-05-01,2022-07-30,,Overdue,False,,,0,False
CAPA-0008,SITE-US-01,6,Deviation,,Minor,Communication,Root cause identified as communication deficiency in Regulatory,CAPA initiated for minor quality event at Philadelphia Manufacturing,Quality System,11,2024-02-01,2024-05-01,2024-02-19,Closed,False,,,0,False
CAPA-0009,SITE-US-01,4,Audit,,Minor,Training,Root cause identified as training deficiency in QA,CAPA initiated for minor quality event at Philadelphia Manufacturing,Quality System,60,2022-03-31,2022-06-29,2022-05-31,Closed,False,,,0,False
CAPA-0010,SITE-US-01,2,Self-Identified,,Minor,Communication,Root cause identified as communication deficiency in QC,CAPA initiated for minor quality event at Philadelphia Manufacturing,Quality System,72,2022-05-26,2022-08-24,2022-05-31,Closed,False,,,0,False
CAPA-0011,SITE-US-01,9,Self-Identified,,Minor,Equipment,Root cause identified as equipment deficiency in Manufacturing,CAPA initiated for minor quality event at Philadelphia Manufacturing,Quality System,111,2023-11-02,2024-01-31,2024-01-18,Closed,False,,,0,False
CAPA-0012,SITE-US-01,2,Self-Identified,,Major,Material,Root cause identified as material deficiency in Manufacturing,CAPA initiated for major quality event at Philadelphia Manufacturing,Quality System,61,2024-04-24,2024-06-23,2024-05-29,Closed,True,2024-08-27,Pass,0,False
CAPA-0013,SITE-US-01,3,Complaint,,Minor,Training,Root cause identified as training deficiency in Regulatory,CAPA initiated for minor quality event at Philadelphia Manufacturing,Quality System,29,2023-09-29,2023-12-28,2023-10-13,Closed,False,,,0,False
