deviation_id,site_id,department_id,batch_id,product_id,deviation_category,deviation_type,severity,description,detected_by,detection_date,manufacturing_area,equipment_id,shift,gmp_classification,investigation_required,investigation_close_dt,root_cause_category,root_cause_description,capa_id,batch_disposition_impact,status
DEV-0001,SITE-US-01,3,BATCH-01562,5,Process,Unplanned,Major,Major process deviation detected during routine operation,107,2023-02-24,Fill & Finish,,Day,GMP,True,2023-03-07,Training,Investigation identified procedural gap,,Hold,Closed
DEV-0002,SITE-US-01,8,BATCH-01355,1,Process,Unplanned,Major,Major process deviation detected during routine operation,52,2022-03-14,Warehouse,,Evening,GMP,True,2022-03-29,Training,Investigation identified procedural gap,CAPA-0098,None,Closed
DEV-0003,SITE-US-01,3,BATCH-00719,2,Process,Unplanned,Critical,Critical process deviation detected during routine operation,26,2022-03-13,Packaging Line 2,,Night,GMP,True,2022-04-24,Training,Investigation identified procedural gap,CAPA-0206,Reject,Open
DEV-0004,SITE-US-01,2,BATCH-00186,8,Process,Unplanned,Minor,Minor process deviation detected during routine operation,43,2024-08-10,Cleanroom B,,Night,GMP,False,,Training,Investigation identified procedural gap,,None,Under Investigation
DEV-0005,SITE-US-01,8,BATCH-00105,3,Equipment,Unplanned,Minor,Minor equipment deviation detected during routine operation,14,2023-03-19,Fill & Finish,,Evening,GMP,False,,Procedure,Investigation identified procedural gap,,None,Closed
DEV-0006,SITE-US-01,3,BATCH-00429,2,Equipment,Unplanned,Minor,Minor equipment deviation detected during routine operation,106,2024-11-09,QC Laboratory,,Day,GMP,False,,Human Error,Investigation identified procedural gap,,None,Open
DEV-0007,SITE-US-01,2,,3,Analytical,Unplanned,Minor,Minor analytical deviation detected during routine operation,9,2024-04-14,Warehouse,,Night,GMP,False,,Equipment,Investigation identified procedural gap,,None,Open
DEV-0008,SITE-US-01,3,,4,Analytical,Unplanned,Minor,Minor analytical deviation detected during routine operation,38,2023-05-17,Coating Suite,,Day,GMP,False,,Training,Investigation identified procedural gap,,None,Under Investigation
DEV-0009,SITE-US-01,1,BATCH-01843,5,Equipment,Unplanned,Major,Major equipment deviation detected during routine operation,106,2022-02-01,Warehouse,,Evening,GMP,True,2022-03-08,Human Error,Investigation identified procedural gap,CAPA-0022,None,Under Investigation
DEV-0010,SITE-US-01,8,BATCH-01056,7,Equipment,Unplanned,Major,Major equipment deviation detected during routine operation,60,2022-02-16,Cleanroom B,,Night,GMP,True,2022-03-28,Training,Investigation identified procedural gap,CAPA-0058,Conditional Release,Closed
DEV-0011,SITE-US-01,6,,6,Environmental,Unplanned,Minor,Minor environmental deviation detected during routine operation,5,2023-07-08,Coating Suite,,Day,GMP,False,,Equipment,Investigation identified procedural gap,,None,Closed
DEV-0012,SITE-US-01,2,,3,Personnel,Unplanned,Minor,Minor personnel deviation detected during routine operation,70,2023-10-17,Packaging Line 2,,Night,GMP,False,,Material,Investigation identified procedural gap,,None,Under Investigation
DEV-0013,SITE-US-01,7,BATCH-01613,3,Process,Unplanned,Minor,Minor process deviation detected during routine operation,49,2023-06-07,Granulation Suite,,Night,GMP,False,,Equipment,Investigation identified procedural gap,,None,Open
DEV-0014,SITE-US-01,9,BATCH-01369,2,Equipment,Planned,Minor,Minor equipment deviation detected during routine operation,15,2023-10-01,Cleanroom B,,Day,GMP,False,,Procedure,Investigation identified procedural gap,,None,Closed
DEV-0015,SITE-US-01,10,BATCH-01231,4,Equipment,Unplanned,Minor,Minor equipment deviation detected during routine operation,94,2022-06-25,Coating Suite,,Night,GMP,False,,Material,Investigation identified procedural gap,,None,Closed
DEV-0016,SITE-US-01,8,BATCH-00806,1,Process,Unplanned,Minor,Minor process deviation detected during routine operation,16,2023-07-25,Fill & Finish,,Evening,GMP,False,,Equipment,Investigation identified procedural gap,,None,Open
DEV-0017,SITE-US-01,3,BATCH-00035,2,Equipment,Planned,Minor,Minor equipment deviation detected during routine operation,26,2023-07-16,Warehouse,,Evening,GMP,False,,Material,Investigation identified procedural gap,,None,Closed
DEV-0018,SITE-US-01,4,BATCH-00648,1,Equipment,Unplanned,Minor,Minor equipment deviation detected during routine operation,3,2024-01-06,Cleanroom A,,Evening,GMP,False,,Training,Investigation identified procedural gap,,None,Open
DEV-0019,SITE-US-01,10,,1,Personnel,Unplanned,Minor,Minor personnel deviation detected during routine operation,67,2024-04-05,Cleanroom B,,Evening,GMP,False,,Equipment,Investigation identified procedural gap,,None,Closed
DEV-0020,SITE-US-01,7,BATCH-00011,3,Process,Unplanned,Major,Major process deviation detected during routine operation,18,2022-09-06,Warehouse,,Day,GMP,True,2022-10-10,Material,Investigation identified procedural gap,CAPA-0220,Hold,Under Investigation
DEV-0021,SITE-EU-01,27,,7,Material,Unplanned,Critical,Critical material deviation detected during routine operation,194,2024-03-06,Packaging Line 2,,Day,GMP,True,2024-03-14,Training,Investigation identified procedural gap,CAPA-0140,Hold,Open
DEV-0022,SITE-EU-01,26,BATCH-00312,2,Equipment,Planned,Major,Major equipment deviation detected during routine operation,227,2023-03-25,Compression Suite,,Day,GMP,True,2023-05-07,Equipment,Investigation identified procedural gap,,None,Open
DEV-0023,SITE-EU-01,19,BATCH-01826,4,Equipment,Unplanned,Major,Major equipment deviation detected during routine operation,264,2023-06-15,Granulation Suite,,Day,GMP,True,2023-07-03,Procedure,Investigation identified procedural gap,,None,Closed
DEV-0024,SITE-EU-01,25,BATCH-01039,5,Equipment,Unplanned,Minor,Minor equipment deviation detected during routine operation,274,2023-07-23,QC Laboratory,,Night,GMP,False,,Procedure,Investigation identified procedural gap,,None,Closed
DEV-0025,SITE-EU-01,21,,2,Personnel,Unplanned,Major,Major personnel deviation detected during routine operation,180,2022-04-20,Coating Suite,,Evening,GMP,True,2022-05-27,Procedure,Investigation identified procedural gap,CAPA-0165,Hold,Open
DEV-0026,SITE-EU-01,20,,8,Environmental,Unplanned,Major,Major environmental deviation detected during routine operation,202,2022-01-03,Coating Suite,,Day,GMP,True,2022-01-30,System,Investigation identified procedural gap,CAPA-0136,None,Closed
DEV-0027,SITE-EU-01,23,,2,Analytical,Unplanned,Major,Major analytical deviation detected during routine operation,173,2024-04-22,Cleanroom A,,Night,GMP,True,2024-06-01,Material,Investigation identified procedural gap,CAPA-0117,None,Closed
DEV-0028,SITE-EU-01,21,,6,Analytical,Unplanned,Minor,Minor analytical deviation detected during routine operation,163,2022-08-26,QC Laboratory,,Evening,GMP,False,,Human Error,Investigation identified procedural gap,,None,Closed
DEV-0029,SITE-EU-01,19,,1,Personnel,Unplanned,Major,Major personnel deviation detected during routine operation,232,2022-03-06,Fill & Finish,,Evening,GMP,True,2022-04-09,Training,Investigation identified procedural gap,CAPA-0068,None,Closed
DEV-0030,SITE-EU-01,20,,6,Analytical,Unplanned,Major,Major analytical deviation detected during routine operation,164,2022-12-26,QC Laboratory,,Night,GMP,True,2023-01-23,Training,Investigation identified procedural gap,,Hold,Under Investigation
