risk_id,risk_title,risk_description,risk_category,business_process,product_id,site_id,risk_owner_id,initial_severity,initial_occurrence,initial_detectability,initial_rpn,risk_controls,residual_severity,residual_occurrence,residual_detectability,residual_rpn,risk_acceptance_status,last_review_date,next_review_date,status,icq9_tool_used,linked_capa_id
RISK-0001,Risk: Change Control failure at SITE-US-01,Potential failure in Cold Chain Distribution affecting product quality,Regulatory,Environmental Control,7,SITE-US-01,95,4,6,3,72,Control measures implemented per ICH Q9,1,4,1,4,Acceptable,2024-02-17,2024-08-15,Active,FMEA,
RISK-0002,Risk: Packaging failure at SITE-EU-02,Potential failure in Cold Chain Distribution affecting product quality,Process,API Synthesis,8,SITE-EU-02,320,6,8,8,384,Control measures implemented per ICH Q9,6,8,5,240,Unacceptable,2022-03-15,2022-09-11,Active,FMEA,
RISK-0003,Risk: Packaging failure at SITE-EU-02,Potential failure in Cold Chain Distribution affecting product quality,IT/Data Integrity,Supplier Management,2,SITE-EU-02,297,3,6,8,144,Control measures implemented per ICH Q9,3,6,8,144,ALARP,2022-06-22,2022-12-19,Active,FMEA,
RISK-0004,Risk: API Synthesis failure at SITE-US-01,Potential failure in Tablet Compression affecting product quality,Product Quality,Environmental Control,6,SITE-US-01,46,9,3,4,108,Control measures implemented per ICH Q9,7,3,4,84,Acceptable,2024-01-12,2024-07-10,Active,FTA,
RISK-0005,Risk: API Synthesis failure at SITE-US-01,Potential failure in Environmental Control affecting product quality,Product Quality,Packaging,1,SITE-US-01,33,4,9,4,144,Control measures implemented per ICH Q9,1,6,3,18,Acceptable,2023-11-14,2024-05-12,Active,FMEA,
RISK-0006,Risk: Cold Chain Distribution failure at SITE-EU-02,Potential failure in Aseptic Fill affecting product quality,Regulatory,Tablet Compression,7,SITE-EU-02,290,10,6,7,420,Control measures implemented per ICH Q9,7,6,6,252,Unacceptable,2024-03-25,2024-09-21,Active,PHA,CAPA-0052
RISK-0007,Risk: Packaging failure at SITE-US-01,Potential failure in Analytical Testing affecting product quality,Supply Chain,Computer Systems,7,SITE-US-01,99,4,9,8,288,Control measures implemented per ICH Q9,2,5,5,50,Acceptable,2024-06-23,2024-12-20,Closed,HACCP,
RISK-0008,Risk: Aseptic Fill failure at SITE-US-01,Potential failure in Analytical Testing affecting product quality,Product Quality,Tablet Compression,4,SITE-US-01,38,3,2,8,48,Control measures implemented per ICH Q9,1,1,8,8,Acceptable,2022-01-31,2022-07-30,Active,FMEA,
RISK-0009,Risk: Analytical Testing failure at SITE-AP-01,Potential failure in Environmental Control affecting product quality,Process,Aseptic Fill,6,SITE-AP-01,360,8,9,7,504,Control measures implemented per ICH Q9,8,9,7,504,Unacceptable,2024-04-11,2024-10-08,Active,FMEA,
RISK-0010,Risk: Cold Chain Distribution failure at SITE-US-01,Potential failure in Change Control affecting product quality,Product Quality,Environmental Control,6,SITE-US-01,38,9,4,8,288,Control measures implemented per ICH Q9,7,1,6,42,Acceptable,2023-08-07,2024-02-03,Closed,FMEA,
RISK-0011,Risk: Environmental Control failure at SITE-US-02,Potential failure in Change Control affecting product quality,Supply Chain,Tablet Compression,4,SITE-US-02,142,3,6,3,54,Control measures implemented per ICH Q9,1,2,1,2,Acceptable,2022-04-18,2022-10-15,Active,HACCP,
RISK-0012,Risk: Environmental Control failure at SITE-US-02,Potential failure in API Synthesis affecting product quality,Supply Chain,Packaging,3,SITE-US-02,154,3,8,4,96,Control measures implemented per ICH Q9,2,6,4,48,Acceptable,2024-05-24,2024-11-20,Active,PHA,
RISK-0013,Risk: Tablet Compression failure at SITE-US-02,Potential failure in Tablet Compression affecting product quality,IT/Data Integrity,Cold Chain Distribution,4,SITE-US-02,128,9,7,3,189,Control measures implemented per ICH Q9,9,5,3,135,ALARP,2024-05-10,2024-11-06,Active,FMEA,CAPA-0097
RISK-0014,Risk: Aseptic Fill failure at SITE-AP-01,Potential failure in Cold Chain Distribution affecting product quality,Process,Tablet Compression,5,SITE-AP-01,407,10,9,8,720,Control measures implemented per ICH Q9,7,6,7,294,Unacceptable,2024-03-22,2024-09-18,Active,FTA,CAPA-0182
RISK-0015,Risk: Cold Chain Distribution failure at SITE-US-02,Potential failure in Computer Systems affecting product quality,Process,Aseptic Fill,5,SITE-US-02,149,9,4,8,288,Control measures implemented per ICH Q9,7,1,7,49,Acceptable,2022-03-29,2022-09-25,Active,HACCP,
RISK-0016,Risk: Computer Systems failure at SITE-EU-01,Potential failure in Packaging affecting product quality,Product Quality,Environmental Control,7,SITE-EU-01,239,5,6,6,180,Control measures implemented per ICH Q9,5,4,3,60,Acceptable,2022-05-16,2022-11-12,Active,FMEA,
