commitment_id,inspection_id,commitment_description,regulatory_ref,committed_date,committed_by,target_response_date,actual_response_date,status,capa_id
RCOM-0001,INSP-0001,Response to 483 observation regarding Supplier Management,21 CFR 211.68,2022-03-29,37,2022-06-23,2022-06-29,Accepted,CAPA-0066
RCOM-0002,INSP-0001,Response to 483 observation regarding Manufacturing,21 CFR 820.100,2022-03-31,9,2022-05-04,2022-04-25,Accepted,CAPA-0090
RCOM-0003,INSP-0001,Response to 483 observation regarding QC Laboratory,21 CFR 211.100,2022-03-27,88,2022-05-20,,Overdue,CAPA-0055
RCOM-0004,INSP-0001,Response to 483 observation regarding Training Management,EU GMP Chapter 4,2022-03-26,66,2022-05-07,2022-05-17,Accepted,CAPA-0166
RCOM-0005,INSP-0002,Response to 483 observation regarding Environmental Monitoring,EU GMP Chapter 4,2023-06-26,58,2023-09-23,2023-09-23,Accepted,CAPA-0029
RCOM-0006,INSP-0003,Response to 483 observation regarding Batch Record Review,21 CFR 820.100,2024-10-04,62,2024-12-30,,Open,CAPA-0180
RCOM-0007,INSP-0003,Response to 483 observation regarding Training Management,21 CFR 211.100,2024-09-29,47,2024-11-25,,Open,CAPA-0133
RCOM-0008,INSP-0003,Response to 483 observation regarding Supplier Management,ICH Q10 3.2,2024-10-04,15,2024-11-30,,Open,CAPA-0022
RCOM-0009,INSP-0003,Response to 483 observation regarding Computer Systems Validation,ICH Q10 3.2,2024-10-07,57,2024-12-12,,Open,CAPA-0092
RCOM-0010,INSP-0003,Response to 483 observation regarding Supplier Management,21 CFR 820.100,2024-10-07,85,2024-12-23,,Open,CAPA-0051
RCOM-0011,INSP-0009,Response to 483 observation regarding Batch Record Review,21 CFR 820.100,2024-05-12,353,2024-07-11,2024-07-14,Accepted,CAPA-0082
RCOM-0012,INSP-0009,Response to 483 observation regarding Document Control,21 CFR 211.192,2024-05-11,361,2024-07-20,2024-08-02,Accepted,CAPA-0033
RCOM-0013,INSP-0009,Response to 483 observation regarding Environmental Monitoring,21 CFR 211.100,2024-05-18,351,2024-07-10,,Overdue,CAPA-0002
RCOM-0014,INSP-0009,Response to 483 observation regarding Document Control,21 CFR Part 11.10,2024-05-18,337,2024-07-16,,Overdue,CAPA-0227
RCOM-0015,INSP-0009,Response to 483 observation regarding Supplier Management,21 CFR 211.192,2024-05-10,382,2024-07-19,2024-07-16,Accepted,CAPA-0204
