change_id,change_title,change_category,change_type,site_id,initiating_dept_id,requestor_id,description,business_justification,product_impact,regulatory_impact,regulatory_filing_required,safety_impact,initiation_date,impact_assess_due_date,impact_assess_complete_dt,approval_date,implementation_date,close_date,status,approved_by,linked_capa_id,linked_deviation_id
CHG-0001,Major Material change at Philadelphia Manufacturing,Labeling,Major,SITE-US-01,1,118,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,False,True,CBE-30,False,2022-08-16,2022-08-30,2022-08-24,2022-09-03,2022-11-19,2022-12-04,Closed,81,,
CHG-0002,Minor Labeling change at Philadelphia Manufacturing,Material,Minor,SITE-US-01,10,1,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,True,False,None,False,2022-07-05,2022-07-19,2022-07-15,2022-08-05,2022-08-25,2022-09-08,Closed,84,,
CHG-0003,Minor Labeling change at Philadelphia Manufacturing,Labeling,Minor,SITE-US-01,6,73,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,False,True,CBE-0,False,2022-08-09,2022-08-23,2022-08-20,2022-09-13,2022-09-06,2022-09-17,Closed,18,CAPA-0213,
CHG-0004,Major Labeling change at Philadelphia Manufacturing,Process,Major,SITE-US-01,2,107,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,False,False,None,False,2022-02-15,2022-03-01,2022-02-25,2022-03-23,2022-05-11,2022-05-23,Closed,10,,
CHG-0005,Critical Equipment change at Philadelphia Manufacturing,Facility,Critical,SITE-US-01,3,8,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,False,False,None,False,2022-08-01,2022-08-15,2022-08-17,2022-08-31,2022-12-17,2022-12-27,Closed,115,,
CHG-0006,Major Process change at Philadelphia Manufacturing,Material,Major,SITE-US-01,3,35,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,True,False,None,False,2022-05-14,2022-05-28,2022-05-30,2022-06-13,2022-08-26,2022-09-01,Closed,95,,
CHG-0007,Minor Process change at Philadelphia Manufacturing,Labeling,Minor,SITE-US-01,3,83,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,False,False,None,False,2022-08-06,2022-08-20,2022-08-17,2022-09-13,2022-10-05,2022-10-15,Closed,119,,
CHG-0008,Major Material change at Philadelphia Manufacturing,Equipment,Major,SITE-US-01,4,65,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,True,True,None,False,2022-02-15,2022-03-01,2022-02-27,2022-03-27,2022-05-26,2022-06-05,Closed,71,CAPA-0098,
CHG-0009,Critical Labeling change at Philadelphia Manufacturing,Software,Critical,SITE-US-01,3,68,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,False,False,None,False,2022-12-26,2023-01-09,2023-01-12,2023-01-18,2023-04-30,2023-05-15,Closed,41,,
CHG-0010,Minor Software change at Philadelphia Manufacturing,Labeling,Minor,SITE-US-01,2,111,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,False,False,None,False,2022-05-07,2022-05-21,2022-05-22,2022-05-21,2022-06-13,2022-06-26,Closed,99,CAPA-0176,
CHG-0011,Major Labeling change at Philadelphia Manufacturing,Facility,Major,SITE-US-01,3,62,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,True,False,None,False,2022-11-26,2022-12-10,2022-12-07,2023-01-05,2023-02-23,2023-03-03,Closed,41,,
CHG-0012,Minor Software change at Philadelphia Manufacturing,Equipment,Minor,SITE-US-01,4,64,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,True,False,None,False,2022-10-05,2022-10-19,2022-10-24,2022-10-31,2022-11-24,2022-12-05,Closed,117,CAPA-0053,
CHG-0013,Minor Material change at Philadelphia Manufacturing,Equipment,Minor,SITE-US-01,8,110,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,False,False,None,False,2022-03-27,2022-04-10,2022-04-17,2022-04-19,2022-05-30,2022-06-08,Closed,7,,
CHG-0014,Major Process change at Philadelphia Manufacturing,Equipment,Major,SITE-US-01,3,75,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,True,False,None,False,2022-11-03,2022-11-17,2022-11-17,2022-11-18,2023-01-31,2023-02-08,Closed,33,,
CHG-0015,Major Equipment change at Philadelphia Manufacturing,Facility,Major,SITE-US-01,5,79,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,False,False,None,False,2022-10-20,2022-11-03,2022-10-29,2022-11-13,2023-01-07,2023-01-13,Closed,59,CAPA-0074,
CHG-0016,Minor Facility change at Philadelphia Manufacturing,Facility,Minor,SITE-US-01,4,109,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,False,False,None,False,2022-10-09,2022-10-23,2022-10-17,2022-10-31,2022-12-09,2022-12-15,Closed,74,,
CHG-0017,Minor Process change at Philadelphia Manufacturing,Equipment,Minor,SITE-US-01,10,24,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,False,True,None,False,2022-09-15,2022-09-29,2022-10-03,2022-09-29,2022-10-07,2022-10-21,Closed,101,,
CHG-0018,Minor Material change at Philadelphia Manufacturing,Process,Minor,SITE-US-01,5,52,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,False,False,None,False,2022-07-24,2022-08-07,2022-08-14,2022-08-15,2022-08-20,2022-08-29,Closed,64,CAPA-0021,
CHG-0019,Minor Labeling change at Philadelphia Manufacturing,Facility,Minor,SITE-US-01,5,44,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,True,False,None,False,2022-02-13,2022-02-27,2022-02-26,2022-03-04,2022-04-19,2022-04-28,Closed,52,,
CHG-0020,Minor Labeling change at Philadelphia Manufacturing,Software,Minor,SITE-US-01,7,75,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,True,False,None,False,2022-02-04,2022-02-18,2022-02-11,2022-03-02,2022-03-25,2022-04-09,Closed,78,,
CHG-0021,Major Labeling change at Philadelphia Manufacturing,Facility,Major,SITE-US-01,8,39,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,True,False,None,True,2022-12-07,2022-12-21,2022-12-18,2023-01-12,2023-03-01,2023-03-06,Closed,34,,
CHG-0022,Minor Equipment change at Philadelphia Manufacturing,Facility,Minor,SITE-US-01,4,75,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,True,False,None,False,2022-12-09,2022-12-23,2022-12-16,2023-01-23,2023-01-23,2023-01-29,Closed,120,,
CHG-0023,Minor Process change at Philadelphia Manufacturing,Facility,Minor,SITE-US-01,2,68,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,True,True,CBE-0,False,2022-07-23,2022-08-06,2022-08-05,2022-08-22,2022-09-24,2022-10-03,Closed,60,,
CHG-0024,Critical Equipment change at Philadelphia Manufacturing,Equipment,Critical,SITE-US-01,6,78,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,True,False,None,False,2022-01-16,2022-01-30,2022-01-30,2022-02-09,2022-06-03,2022-06-13,Closed,91,CAPA-0183,
CHG-0025,Major Software change at Philadelphia Manufacturing,Software,Major,SITE-US-01,3,89,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,False,False,None,False,2022-06-15,2022-06-29,2022-06-23,2022-07-18,2022-09-01,2022-09-13,Closed,49,CAPA-0133,
CHG-0026,Major Material change at Philadelphia Manufacturing,Equipment,Major,SITE-US-01,9,2,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,True,False,None,False,2022-10-22,2022-11-05,2022-11-10,2022-11-07,2023-02-03,2023-02-16,Closed,37,,
